sampleID,seq_sampleID,Date,transect_no,sample_no,Depth (m),Location,latitude,longitude,niskin_time,freeze_time,Volume filtered (ml SW),field_notes,extraction_date,elution_volume,nanodrop_dna,nanodrop_260-230,nanodrop_260-280,COI_16S_18S_PCR_dilutions,COI_16S_18S_qPCR_dilutions,12S_dilutions,16S_spike_copies,16Sin_qPCR_quantity,16S_qPCR_quantity,16SV4V5_seq,16S_DADA2_reads,16S_spike_main_ASV,18S_spike_copies,18S_qPCR_quantity,18SV4_seq,18S_DADA2_reads,18S_spike_main_ASV,12S_qPCR_quantity,12S_DADA2_reads,COI_spike_copies,COI_qPCR_quantity,uL_per_qPCR_reaction,uL_per_PCR_reaction,16Sin extraction efficiency,DNA (ng/L SW),DNA (μg/L SW),12S copies/L SW,16S copies/L SW,18S copies/L SW,COI copies/L SW,12S copies/L SW * eff,16S copies/L SW * eff,18S copies/L SW * eff,COI copies/L SW * eff,16S_spike_ratios,18S_spike_ratios,16S_quant_reads,18S_quant_reads,16S seq/L SW,18S seq/L SW
BBT10-BL1,BBT10_Blank1_2023Jun22_CoolerBlank_0m,2023-06-22,10,Blank1,0,Cooler blank 1,NA,NA,09:24:00,09:31:00,1500,NA,2024-06-12,100,4.7,1.41,3.38,1,0.01,1,500000000,45646,83847,original,458,293,1000000,2073,original,11625,9291,173,NA,10000000,114,5,2,0.182584,313.33333333333337,0.31333333333333335,2306.6666666666665,111796000,2764000,152000,12633.454556076473,612298996.6262105,15138237.742628051,832493.5372212242,0.6397379912663755,0.7992258064516129,781569965.8703072,1251210.8492089119,2853736602.9528227,4568530.463453943
BBT10-BL2,BBT10_Blank2_2023Jun22_CoolerBlank_0m,2023-06-22,10,Blank2,0,Cooler blank 2,NA,NA,14:00:00,14:09:00,940,NA,2024-06-12,100,4.5,1.23,3.28,1,0.01,1,500000000,48163,70318,original,472,376,1000000,2884,original,19565,8716,26,22755,10000000,173,5,2,0.192652,478.72340425531917,0.4787234042553192,553.1914893617021,149612765.95744678,6136170.212765957,368085.10638297873,2871.4546921999363,776595965.5619813,31851058.97040237,1910621.775963804,0.7966101694915254,0.4454893943266036,627659574.468085,2244722.349701698,3465953904.25115,12395420.237955784
BBT11-1B,BBT11_1B_2023Jul25_SackvilleRiver_1m,2023-07-25,11,1,1,Sackville River,44.43072,-63.4008,09:42:00,09:52:00,150,NA,2024-06-11,100,28.9,0.97,1.7,0.5,0.01,1,500000000,126049,294137,original,8089,23,1000000,116315,original,8732,562,157,26580,10000000,2603,5,2,0.504196,19266.666666666664,19.266666666666666,20933.333333333332,3921826666.6666665,1550866666.6666667,34706666.666666664,41518.24555001098,7778377191.938584,3075920210.9232655,68835664.43737489,0.0028433675361602176,0.06436097114063216,175847826086.9565,15537366.548042705,4650250460454.704,410881655.7593398
BBT11-10B,BBT11_10B_2023Jul25_McNabsIsland_35m,2023-07-25,11,10,35,McNabs Island,NA,NA,16:22:00,16:34:00,1220,NA,2024-06-11,100,26.1,1.22,1.78,0.5,0.01,1,500000000,60789,87890,original,23245,201,1000000,15936,original,20991,1404,124,13623,10000000,997,5,2,0.243156,2139.344262295082,2.139344262295082,2032.7868852459017,144081967.21311474,26124590.16393443,1634426.2295081967,8360.011207808573,592549504.0760448,107439627.90938501,6721718.688858991,0.008647020864702086,0.06688580820351579,57823383084.57712,14950854.7008547,389842040855.2205,100797832.95601837
BBT11-2B,BBT11_2B_2023Jul25_SackvilleRiver_15m,2023-07-25,11,2,15,Sackville River,44.43072,-63.4008,10:06:00,10:18:00,880,NA,2024-06-11,100,46.8,1.76,1.86,0.5,0.01,1,500000000,109850,467725,reseq,6960,32,1000000,305150,original,51437,654,154,23318,10000000,4511,5,2,0.4394,5318.181818181818,5.318181818181818,3500,1063011363.6363635,693522727.2727273,10252272.727272728,7965.407373691397,2419233872.6362395,1578340298.7545,23332436.793975256,0.004597701149425287,0.012714582887804499,108750000000,78649847.09480122,562492241486.3243,406803942.8497601
BBT11-3B,BBT11_3B_2023Jul25_DRDCBarge_1m,2023-07-25,11,3,1,DRDC barge,44.41111,-63.39126,10:49:00,11:00:00,340,NA,2024-06-11,100,27.4,1.1,1.77,0.5,0.01,1,500000000,96359,337780,original,5331,26,1000000,121209,original,7895,459,95,19614,10000000,2439,5,2,0.385436,8058.823529411765,8.058823529411764,5588.235294117647,1986941176.4705882,712994117.6470588,14347058.823529413,14498.477812445248,5155048247.881848,1849837891.7565012,37222934.089004174,0.004877133746013881,0.058138062064597845,102519230769.23077,17200435.729847495,1564602939638.5754,262505406.0985099
BBT11-4B,BBT11_4B_2023Jul25_DRDCBarge_40m,2023-07-25,11,4,40,DRDC barge,44.41111,-63.39126,11:15:00,11:28:00,1550,NA,2024-06-11,100,42.9,1.91,1.88,0.5,0.01,1,500000000,88834,383657,original,15067,59,1000000,368095,original,92208,569,90,25971,10000000,3005,5,2,0.355336,2767.7419354838707,2.767741935483871,1161.2903225806454,495041290.3225807,474961290.3225807,3877419.35483871,3268.147113100404,1393163907.7452908,1336654012.8852148,10911980.083185237,0.003915842569854649,0.006170831164324137,127686440677.9661,162052724.07732865,463664524981.9566,588457935.9593089
BBT11-5B,BBT11_5B_2023Jul25_McKayBridge_1m,2023-07-25,11,5,1,McKay bridge,44.40682,-63.36672,12:23:00,12:34:00,660,NA,2024-06-11,100,35.5,1.09,1.7,0.5,0.01,1,500000000,59177,328319,original,12040,10,1000000,71510,original,39438,530,215,17091,10000000,3689,5,2,0.236708,5378.787878787879,5.378787878787879,6515.151515151516,994906060.6060605,216696969.6969697,11178787.878787879,27524.002210113365,4203094363.5452137,915461115.3698637,47226067.04795731,8.305647840531562e-4,0.013438815355748262,602000000000,74411320.75471698,7706720618831.742,952603421.8187371
BBT11-6B,BBT11_6B_2023Jul25_McKayBridge_15m,2023-07-25,11,6,15,McKay bridge,44.40682,-63.36672,12:41:00,12:53:00,760,NA,2024-06-11,100,54,1.55,1.82,0.5,0.01,1,500000000,93708,480830,original,27510,62,1000000,118340,original,33509,667,120,19706,10000000,4433,5,2,0.374832,7105.263157894738,7.105263157894737,3157.8947368421054,1265342105.263158,311421052.6315789,11665789.47368421,8424.826954054364,3375757953.5983,830828351.452328,31122714.906102497,0.002253725917848055,0.019905100122355187,221854838709.67743,50238380.809595205,1557573854207.2283,352708053.97727096
BBT11-7B,BBT11_7B_2023Jul25_Tufts_1m,2023-07-25,11,7,1,Tufts Cove,44.40472,-63.35701,12:56:00,13:05:00,300,NA,2024-06-11,100,62.6,1.38,1.78,0.25,0.01,1,500000000,69526,573636,original,32996,74,1000000,294275,original,160022,1867,126,12667,10000000,4996,5,2,0.278104,20866.666666666668,20.866666666666667,8400,3824240000,1961833333.3333333,33306666.666666664,30204.527802548684,13751114690.906998,7054315411.980171,119763349.92185178,0.0022426960843738636,0.011667145767456975,222945945945.94595,85710765.93465452,10688852417126.732,4109290813.7317696
