ASV_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence
0f043dcefc0e98177de817e87b18062d	Eukaryota	 Protalveolata	 Perkinsidae	 A31	 A31	 A31	 uncultured_freshwater	0.8499699401665992
0f05f5ab9feca04ff19c92bcae2e51f0	Eukaryota	 Cercozoa						0.9999108831976447
0f0d85badcf2e298792044614f7b671a	Eukaryota	 Ciliophora	 Intramacronucleata	 Spirotrichea	 Choreotrichia	 Strombidinopsis	 Strombidinopsis_sp.	0.9980843748811445
0f1ac5875307ace145e047d5fb35d832	Eukaryota	 Dinoflagellata	 Dinophyceae	 Gymnodiniphycidae	 Incertae_Sedis	 Akashiwo	 uncultured_dinoflagellate	0.9999999788394123
0f1ad5ad18411645dbf7dc19d8b3b620	Eukaryota	 Cercozoa	 Thecofilosea	 Cryomonadida	 Protaspidae			0.8609095382274603
0f28872790215478a6205636b837b9c7	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_I	 Syndiniales_Group_I	 uncultured_eukaryote	0.8443093439263509
0f2be49cfce1324f1151fde617499511	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II	 uncultured_marine	0.9375874603018594
0f5765d9324d4af96d94e662e2b2787b	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II	 uncultured_marine	0.8858958268375798
0f6abe5e81ccc03c81e0562c2dea66c9	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_I	 Syndiniales_Group_I	 uncultured_marine	0.816768468
0f710bc7f4a0ee4af2459c07ae981700	Eukaryota	 Cercozoa	 Thecofilosea	 Cryomonadida	 Protaspidae	 Protaspis		0.8365633111966377
0f733adeff0325d83088c8db72b1171a	Eukaryota	 Dinoflagellata	 Dinophyceae	 Gymnodiniphycidae	 Kareniaceae	 Takayama	 uncultured_eukaryote	0.9949245980909097
0f84b10502b6280044271dfa127e3d91	Eukaryota	 Ochrophyta	 Pelagophyceae	 Sarcinochrysidales	 Sarcinochrysidales	 Sarcinochrysidales	 Pelagophyceae_sp.	0.9703341051346511
0fa52957031d5d1a034ae78884ed78f2	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_I	 Syndiniales_Group_I		0.9996252789299246
0fab11db89f860fbc4c840db0ff3e4a0	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II		0.9705352101097291
0fbfa7a764146388e402e42f858511fc	Eukaryota	 Prymnesiophyceae	 Prymnesiophyceae	 Prymnesiophyceae	 Prymnesiophyceae	 Phaeocystis	 uncultured_eukaryote	0.996536864
