sampleID	seq_sampleID	Date	transect_no	sample_no	Depth (m)	Location	latitude	longitude	niskin_time	freeze_time	Volume filtered (ml SW)	field_notes	extraction_date	elution_volume	nanodrop_dna	nanodrop_260-230	nanodrop_260-280	COI_16S_18S_PCR_dilutions	COI_16S_18S_qPCR_dilutions	12S_dilutions	16S_spike_copies	16Sin_qPCR_quantity	16S_qPCR_quantity	16SV4V5_seq	16S_DADA2_reads	16S_spike_main_ASV	18S_spike_copies	18S_qPCR_quantity	18SV4_seq	18S_DADA2_reads	18S_spike_main_ASV	12S_qPCR_quantity	12S_DADA2_reads	COI_spike_copies	COI_qPCR_quantity
BBT16-8B	BBT16_8B_2023Dec14_SackvilleRiver_1m	2023-12-14	16	8	1	Sackville River	44.43015	-63.40064	12:38	13:03	870		2024-06-06	100	42.7	1.74	1.84	0.5	0.01	1	500000000	56247	315709	original	15821	88	1000000	146658	original	13024	194	31	29789	10000000	3464
BBT16-9B	BBT16_9B_2023Dec14_McNabsIsland_35m	2023-12-14	16	9	35	McNabs Island	44.36961	-63.32791	14:33	14:52	980		2024-06-06	100	11.9	1.78	2.02	1	0.01	1	500000000	48852	70237	original	8963	194	1000000	25666	original	9252	494	70	28230	10000000	378
BBT16-BL1	BBT16_Blank1_2023Dec14_CoolerBlank_0m	2023-12-14	16	Blank1	0	Cooler blank 1	N/A	N/A	8:30	8:30	910		2024-06-05	100	3.4	1.02	4.8	1	0.01	1	500000000	40497	60866	original	12103	1977	1000000	1728	original	12819	7932	187	18521	10000000	86
BBT16-BL2	BBT16_Blank2_2023Dec14_CoolerBlank_0m	2023-12-14	16	Blank2	0	Cooler blank 2	N/A	N/A	13:00	13:00	1010		2024-06-05	100	0.6	-0.48	-0.47	1	0.01	1	500000000	47599	38922	original	7463	5423	1000000	1011	original	8766	6133	41	N/A	10000000	56
BBT17-1B	BBT17_1B_2024Jan19_Tufts_10m	2024-01-19	17	1	10	Tufts Cove	44.40475	-63.35708	9:08	9:36	770		2024-06-06	100	20	2.15	2.12	1	0.01	1	500000000	19903	152021	original	28779	127	1000000	33121	original	11134	196	47	23167	10000000	1507
BBT17-10B	BBT17_10B_2024Jan19_McNabsIsland_1m	2024-01-19	17	10	1	McNabs Island	44.36961	-63.32756	14:51	15:09	780		2024-06-05	100	17.1	1.77	2.05	1	0.01	1	500000000	38203	200063	original	19784	93	1000000	33545	original	64362	69	149	18622	10000000	1505
BBT17-2B	BBT17_2B_2024Jan19_Tufts_1m	2024-01-19	17	2	1	Tufts Cove	44.40475	-63.35708	9:18	9:40	1010		2024-06-06	100	27.3	1.79	1.91	0.5	0.01	1	500000000	76228	273673	original	8559	26	1000000	60336	original	21054	773	82	14569	10000000	3315
BBT17-3B	BBT17_3B_2024Jan19_McKayBridge_26m	2024-01-19	17	3	26	McKay bridge	44.40611	-63.36557	10:00	10:20	920		2024-06-05	100	15.9	1.78	2.06	1	0.01	1	500000000	44045	42584	original	4960	29	1000000	14753	original	23199	1671	69	16934	10000000	343
BBT17-4B	BBT17_4B_2024Jan19_McKayBridge_1m	2024-01-19	17	4	1	McKay bridge	44.40611	-63.36557	10:07	10:30	870		2024-06-05	100	24	1.64	1.9	1	0.01	1	500000000	19449	65951	original	18479	69	1000000	31940	original	28343	456	104	14639	10000000	603
BBT17-5B	BBT17_5B_2024Jan19_DRDCBarge_42m	2024-01-19	17	5	42	DRDC barge	44.41244	-63.38985	11:33	11:55	1080		2024-06-05	100	35.9	1.29	1.83	0.5	0.01	1	500000000	34700	59536	original	19795	77	1000000	27976	original	13744	585	53	9780	10000000	560
BBT17-6B	BBT17_6B_2024Jan19_DRDCBarge_1m	2024-01-19	17	6	1	DRDC barge	44.41244	-63.38985	11:40	12:02	830		2024-06-05	100	28.8	1.65	1.93	0.5	0.01	1	500000000	34184	77794	original	17609	52	1000000	27921	original	23158	908	371	11921	10000000	835
BBT17-7B	BBT17_7B_2024Jan19_SackvilleRiver_15m	2024-01-19	17	7	15	Sackville River	44.43073	-63.4011	12:29	12:48	1030		2024-06-05	100	41.1	1.47	1.86	0.5	0.01	1	500000000	29251	168435	original	14266	52	1000000	75056	original	89227	1648	83	16612	10000000	1855
BBT17-8B	BBT17_8B_2024Jan19_SackvilleRiver_1m	2024-01-19	17	8	1	Sackville River	44.43073	-63.4011	12:35	13:00	820		2024-06-05	100	37.2	1.81	1.87	0.5	0.01	1	500000000	53323	228587	original	17332	39	1000000	47099	original	27239	1111	159	14746	10000000	2086
BBT17-9B	BBT17_9B_2024Jan19_McNabsIsland_35m	2024-01-19	17	9	35	McNabs Island	44.36961	-63.32756	14:45	15:04	1030		2024-06-05	100	14.6	1.01	1.97	1	0.01	1	500000000	18089	41795	original	6501	208	1000000	10239	original	18409	54	389	27324	10000000	185
BBT17-BL1	BBT17_Blank1_2024Jan19_CoolerBlank_0m	2024-01-19	17	Blank1	0	Cooler blank 1	N/A	N/A	8:50	8:58	940		2024-06-05	100	6	0.73	2.19	1	0.01	1	500000000	26979	30597	original	4891	3817	1000000	2720	original	8979	494	107	21052	10000000	37
BBT17-BL2	BBT17_Blank2_2024Jan19_CoolerBlank_0m	2024-01-19	17	Blank2	0	Cooler blank 2	N/A	N/A	13:00	13:00	1090		2024-06-05	100	8.3	0.73	1.88	1	0.01	1	500000000	56382	41395	original	2949	1857	1000000	464	original	13536	429	69	13975	10000000	45
BBT18-1B	BBT18_1B_2024Feb16_Tufts_14m	2024-02-16	18	1	14	Tufts Cove	44.4047	-63.35716	9:13	9:45	880		2024-06-04	100	24	2.22	1.99	1	0.01	1	500000000	22657	275280	original	15455	89	1000000	33648	original	35339	15	286	20111	10000000	2499
BBT18-10B	BBT18_10B_2024Feb16_McNabsIsland_1m	2024-02-16	18	10	1	McNabs Island	44.37005	-63.32786	15:09	15:31	900		2024-06-04	100	14.9	2.27	2.12	1	0.01	1	500000000	151072	520606	original	22979	222	1000000	158536	original	6071	87	240	21989	10000000	4515
BBT18-2B	BBT18_2B_2024Feb16_Tufts_1m	2024-02-16	18	2	1	Tufts Cove	44.4047	-63.35716	9:25	9:48	900		2024-06-04	100	33.6	1.13	1.74	0.5	0.01	1	500000000	29535	247764	original	22021	113	1000000	48055	original	68450	29	260	19020	10000000	2097
BBT18-3B	BBT18_3B_2024Feb16_McKayBridge_27m	2024-02-16	18	3	27	McKay bridge	44.40607	-63.36631	10:23	10:49	880		2024-06-04	100	15.1	1.56	2	1	0.01	1	500000000	62777	324033	original	16469	99	1000000	47893	original	8859	8	181	18229	10000000	2567
BBT18-4B	BBT18_4B_2024Feb16_McKayBridge_1m	2024-02-16	18	4	1	McKay bridge	44.40607	-63.36631	10:31	10:55	910		2024-06-04	100	33.4	1.1	1.76	0.5	0.01	1	500000000	49189	461520	original	50172	354	1000000	199722	original	86750	35	272	22151	10000000	4149
BBT18-5B	BBT18_5B_2024Feb16_DRDCBarge_42m	2024-02-16	18	5	42	DRDC barge	44.41107	-63.39197	11:35	12:00	870		2024-06-04	100	21.5	1.27	1.82	1	0.01	1	500000000	50654	237345	original	15664	125	1000000	53695	original	47005	40	300	33119	10000000	1283
BBT18-6B	BBT18_6B_2024Feb16_DRDCBarge_1m	2024-02-16	18	6	1	DRDC barge	44.41107	-63.39197	11:41	12:02	800		2024-06-04	100	12	1.7	1.92	1	0.01	1	500000000	131705	229050	original	6678	101	1000000	33526	original	26750	72	147	19625	10000000	1448
BBT18-7B	BBT18_7B_2024Feb16_SackvilleRiver_19m	2024-02-16	18	7	19	Sackville River	44.42883	-63.39843	12:52	13:17	1040		2024-06-04	100	52.4	1.33	1.78	0.5	0.01	1	500000000	115040	258028	reseq	2900	29	1000000	203142	original	11911	3	131	16892	10000000	1809
BBT18-8B	BBT18_8B_2024Feb16_SackvilleRiver_1m	2024-02-16	18	8	1	Sackville River	44.42883	-63.39843	13:00	13:26	860		2024-06-04	100	11.5	2.87	2.18	1	0.01	1	500000000	128686	189511	original	30572	184	1000000	37366	original	9657	0	224	N/A	10000000	980
BBT18-9B	BBT18_9B_2024Feb16_McNabsIsland_37m	2024-02-16	18	9	37	McNabs Island	44.37005	-63.32786	15:04	15:26	970		2024-06-04	100	8.9	1.39	1.68	1	0.01	1	500000000	50866	94243	original	10157	290	1000000	22759	original	7213	406	209	22576	10000000	393
BBT18-BL1	BBT18_Blank1_2024Feb16_CoolerBlank_0m	2024-02-16	18	Blank1	0	Cooler blank 1	N/A	N/A	8:54	8:54	930		2024-06-04	100	7.9	0.83	1.72	1	0.01	1	500000000	56350	68240	original	8768	4769	1000000	929	original	16403	7633	504	16565	10000000	94
BBT18-BL2	BBT18_Blank2_2024Feb16_CoolerBlank_0m	2024-02-16	18	Blank2	0	Cooler blank 2	N/A	N/A	13:29	13:29	950		2024-06-04	100	4	1.37	2.17	1	0.01	1	500000000	24532	44455	original	5032	3938	1000000	765	original	12652	9216	241	17950	10000000	68
BBT19-1B	BBT19_1B_2024Mar28_Tufts_10m	2024-03-28	19	1	10	Tufts Cove	44.40481	-63.35734	8:59	9:26	840		2024-06-03	100	41.7	1.7	1.89	0.5	0.01	1	500000000	102314	556031	original	24069	105	1000000	272560	original	11252	461	160	26550	10000000	8026
BBT19-10B	BBT19_10B_2024Mar28_McNabsIsland_1m	2024-03-28	19	10	1	McNabs Island	44.37005	-63.32452	15:06	15:22	665		2024-06-03	100	36.5	1.71	1.9	0.5	0.01	1	500000000	20569	445991	original	14716	55	1000000	54255	original	11049	255	173	12273	10000000	5457
BBT19-2B	BBT19_2B_2024Mar28_Tufts_1m	2024-03-28	19	2	1	Tufts Cove	44.40481	-63.35734	9:08	9:28	920		2024-06-03	100	57.5	2.17	1.93	0.5	0.01	1	500000000	46482	551042	original	28705	77	1000000	239813	original	8507	20	277	16928	10000000	7432
BBT19-3B	BBT19_3B_2024Mar28_McKayBridge_29m	2024-03-28	19	3	29	McKay bridge	44.40607	-63.36585	9:56	10:20	1075		2024-06-03	100	45.7	1.04	1.73	0.5	0.01	1	500000000	101404	539437	original	14059	12	1000000	199042	original	7593	193	5597	21671	10000000	7815
BBT19-4B	BBT19_4B_2024Mar28_McKayBridge_1m	2024-03-28	19	4	1	McKay bridge	44.40607	-63.36585	10:01	10:28	815		2024-06-03	100	54.2	1.66	1.85	0.5	0.01	1	500000000	29666	546142	reseq	19039	51	1000000	158957	original	6239	24	115	N/A	10000000	8986
BBT19-5B	BBT19_5B_2024Mar28_DRDCBarge_39m	2024-03-28	19	5	39	DRDC barge	44.41077	-63.39141	11:01	11:23	1100		2024-06-03	100	29.3	1.51	1.92	0.5	0.01	1	500000000	73288	230254	original	31406	202	1000000	172353	original	8209	49	200	9107	10000000	2640
BBT19-6B	BBT19_6B_2024Mar28_DRDCBarge_1m	2024-03-28	19	6	1	DRDC barge	44.41077	-63.39141	11:08	11:32	850		2024-06-03	100	55	1.64	1.89	0.5	0.01	1	500000000	44379	331160	original	20668	98	1000000	98949	original	12428	52	629	21993	10000000	4389
BBT19-7B	BBT19_7B_2024Mar28_SackvilleRiver_16m	2024-03-28	19	7	16	Sackville River	44.43034	-63.4006	12:20	12:44	910		2024-06-03	100	45.8	1.25	1.81	0.5	0.01	1	500000000	12908	278769	original	6928	25	1000000	56643	original	6388	43	142	11521	10000000	1920
BBT19-8B	BBT19_8B_2024Mar28_SackvilleRiver_1m	2024-03-28	19	8	1	Sackville River	44.43034	-63.4006	12:26	12:55	380		2024-06-03	100	19.9	0.93	1.65	1	0.01	1	500000000	64963	187847	cleaned	5302	152	1000000	31826	cleaned	43122	3832	117	N/A	10000000	804
BBT19-9B	BBT19_9B_2024Mar28_McNabsIsland_36m	2024-03-28	19	9	36	McNabs Island	44.37005	-63.32452	15:00	15:20	790		2024-06-03	100	30.1	1.26	1.75	0.5	0.01	1	500000000	69802	446222	reseq	45597	352	1000000	150029	original	6408	38	118	16045	10000000	4505
BBT19-BL1	BBT19_Blank1_2024Mar28_CoolerBlank_0m	2024-03-28	19	Blank1	0	Cooler blank 1	N/A	N/A	8:48	8:48	870		2024-06-03	100	8.4	0.75	1.9	1	0.01	1	500000000	35525	80238	original	5648	1010	1000000	3987	original	33048	10391	164	17197	10000000	130
BBT19-BL2	BBT19_Blank2_2024Mar28_CoolerBlank_0m	2024-03-28	19	Blank2	0	Cooler blank 2	N/A	N/A	12:56	12:56	900		2024-06-03	100	8.6	0.81	2.13	1	0.01	1	500000000	81061	70504	original	1693	1068	1000000	538	original	22032	13346	193	13567	10000000	99
BBT20-1B	BBT20_1B_2024Apr18_Tufts_12m	2024-04-18	20	1	12	Tufts Cove	44.40282	-63.35423	9:01	9:23	900		2024-05-31	100	81.5	1.78	1.89	0.25	0.01	1	500000000	76045	353844	original	11390	206	1000000	379188	original	11696	1244	20	29325	10000000	4322
BBT20-10B	BBT20_10B_2024Apr18_SackvilleRiver_1m	2024-04-18	20	10	1	Sackville River	44.43048	-63.340051	13:03	13:29	610		2024-05-31	100	54	1.67	1.9	0.5	0.01	1	500000000	81763	215789	original	17560	55	1000000	144213	original	50333	279	417	32480	10000000	2049
BBT20-11B	BBT20_11B_2024Apr18_McNabsIsland_33m	2024-04-18	20	11	33	McNabs Island	44.36587	-63.32505	15:09	15:31	910		2024-05-31	100	32.8	1.36	1.88	0.5	0.01	1	500000000	87847	244695	original	22552	87	1000000	59840	original	7331	24	9	23811	10000000	2727
BBT20-12B	BBT20_12B_2024Apr18_McNabsIsland_1m	2024-04-18	20	12	1	McNabs Island	44.36587	-63.32505	15:17	15:36	780		2024-05-31	100	63.8	1.55	1.87	0.25	0.01	1	500000000	32215	88899	original	24485	30	1000000	95769	original	20658	700	136	22581	10000000	968
BBT20-2B	BBT20_2B_2024Apr18_Tufts_1m	2024-04-18	20	2	1	Tufts Cove	44.40282	-63.35423	9:11	9:34	850		2024-05-31	100	88.9	2.05	1.92	0.25	0.01	1	500000000	37626	272082	original	6915	100	1000000	161883	original	11184	122	60	29573	10000000	2734
BBT20-3B	BBT20_3B_2024Apr18_McKayBridge_28m	2024-04-18	20	3	28	McKay bridge	44.40351	-63.36344	10:05	10:28	1010		2024-05-31	100	44.2	1.98	1.91	0.5	0.01	1	500000000	53637	381732	original	46306	291	1000000	124028	original	12570	991	17	26676	10000000	4703
BBT20-4B	BBT20_4B_2024Apr18_McKayBridge_1m	2024-04-18	20	4	1	McKay bridge	44.40351	-63.36344	10:13	10:36	680		2024-05-31	100	81.1	1.83	1.89	0.25	0.01	1	500000000	23032	377900	original	27945	128	1000000	77262	original	29603	326	34	25182	10000000	5489
BBT20-5B	BBT20_5B_2024Apr18_DRDCBarge_39m	2024-04-18	20	5	39	DRDC barge	44.41107	-63.39197	11:37	12:03	860		2024-05-31	100	24.6	1.74	1.97	1	0.01	1	500000000	41794	123391	original	11073	123	1000000	34770	original	10071	59	7	34808	10000000	808
BBT20-6B	BBT20_6B_2024Apr18_DRDCBarge_1m	2024-04-18	20	6	1	DRDC barge	44.41107	-63.39197	11:46	12:08	670		2024-05-31	100	78.8	1.93	1.9	0.25	0.01	1	500000000	76475	383954	reseq	7907	41	1000000	178890	original	17384	437	190	26455	10000000	4979
BBT20-9B	BBT20_9B_2024Apr18_SackvilleRiver_15m	2024-04-18	20	9	15	Sackville River	44.43048	-63.340051	12:55	13:19	530		2024-05-31	100	36.7	1.69	1.86	0.5	0.01	1	500000000	47866	173116	original	47783	140	1000000	34435	original	85025	475	11	38129	10000000	1256
BBT20-BL1	BBT20_Blank1_2024Apr18_CoolerBlank_0m	2024-04-18	20	Blank1	0	Cooler blank 1	N/A	N/A	8:28	8:28	1090		2024-05-31	100	8.5	0.73	1.89	1	0.01	1	500000000	79514	74347	original	7534	5052	1000000	783	original	13301	8688	10	28033	10000000	115
BBT20-BL2	BBT20_Blank2_2024Apr18_CoolerBlank_0m	2024-04-18	20	Blank2	0	Cooler blank 2	N/A	N/A	13:23	13:23	980		2024-05-31	100	8.5	0.87	1.9	1	0.01	1	500000000	29493	47283	original	7740	38	1000000	720	original	18421	12228	8	25871	10000000	102
BBT21-1B	BBT21_1B_2024May16_Tufts_13m	2024-05-16	21	1	13	Tufts Cove	44.40468	-63.35718	8:57	9:25	845		2024-05-30	100	78	2.26	1.92	0.25	0.01	1	500000000	155922	1506877	original	16939	25	1000000	255421	original	14323	117	38	35161	10000000	14689
BBT21-10B	BBT21_10B_2024May16_SackvilleRiver_1m	2024-05-16	21	10	1	Sackville River	44.43094	-63.34094	12:43	13:03	450		2024-05-30	100	111.1	1.44	1.83	0.25	0.01	1	500000000	51756	181632	original	18530	93	1000000	34826	reseq	33857	773	49	34446	10000000	1737
BBT21-11B	BBT21_11B_2024May16_McNabsIsland_35m	2024-05-16	21	11	35	McNabs Island	44.37003	-63.32821	15:20	15:42	840		2024-05-30	100	52.1	1.43	1.8	0.5	0.01	1	500000000	56156	687620	original	25010	129	1000000	53688	original	14117	199	39	23781	10000000	11995
BBT21-12B	BBT21_12B_2024May16_McNabsIsland_1m	2024-05-16	21	12	1	McNabs Island	44.37003	-63.32821	15:27	15:47	770		2024-05-30	100	47.9	2.09	1.95	0.5	0.01	1	500000000	75141	705688	original	20411	76	1000000	58123	original	5064	53	16	33022	10000000	7770
BBT21-2B	BBT21_2B_2024May16_Tufts_1m	2024-05-16	21	2	1	Tufts Cove	44.40468	-63.35718	9:09	9:34	850		2024-05-30	100	85.9	2.15	1.91	0.25	0.01	1	500000000	40236	1450884	original	53956	214	1000000	93115	original	12365	1300	64	33277	10000000	12588
BBT21-3B	BBT21_3B_2024May16_McKayBridge_25m	2024-05-16	21	3	25	McKay bridge	44.40603	-63.36619	9:45	10:09	770		2024-05-30	100	56	1.79	1.9	0.5	0.01	1	500000000	145154	1241087	original	12540	72	1000000	156786	original	14975	78	30	32057	10000000	13054
BBT21-4B	BBT21_4B_2024May16_McKayBridge_1m	2024-05-16	21	4	1	McKay bridge	44.40603	-63.36619	9:54	10:15	650		2024-05-30	100	86	2.37	1.93	0.25	0.01	1	500000000	29533	1246946	original	13336	53	1000000	168962	original	6399	29	64	31855	10000000	16328
BBT21-5B	BBT21_5B_2024May16_DRDCBarge_42m	2024-05-16	21	5	42	DRDC barge	44.41137	-63.39228	10:41	11:05	980		2024-05-30	100	23.5	1.94	1.97	1	0.01	1	500000000	52739	450976	original	8859	159	1000000	56852	original	4127	67	7	33444	10000000	2858
BBT21-6B	BBT21_6B_2024May16_DRDCBarge_1m	2024-05-16	21	6	1	DRDC barge	44.41137	-63.39228	10:52	11:11	510		2024-05-30	100	91.4	2.28	1.93	0.25	0.01	1	500000000	49965	695715	original	9001	24	1000000	62812	original	8476	143	12	44376	10000000	9422
BBT21-9B	BBT21_9B_2024May16_SackvilleRiver_15m	2024-05-16	21	9	15	Sackville River	44.43094	-63.34094	12:36	12:48	600		2024-05-30	100	47.1	2.43	2	0.5	0.01	1	500000000	74611	210992	cleaned	14899	116	1000000	28446	original	N/A	N/A	31	34736	10000000	2132
BBT21-BL1	BBT21_Blank1_2024May16_CoolerBlank_0m	2024-05-16	21	Blank1	0	Cooler blank 1	N/A	N/A	8:37	8:37	1000		2024-06-03	100	5.4	0.83	1.62	1	0.01	1	500000000	51824	62401	original	9940	2171	1000000	2012	original	18520	5733	395	20531	10000000	128
BBT21-BL2	BBT21_Blank2_2024May16_CoolerBlank_0m	2024-05-16	21	Blank2	0	Cooler blank 2	N/A	N/A	13:05	13:05	1010		2024-06-03	100	6.7	1.02	1.74	1	0.01	1	500000000	78028	81513	original	6922	1870	1000000	3087	original	47901	12896	572	30674	10000000	109
