sampleID	seq_sampleID	Date	transect_no	sample_no	Depth (m)	Location	latitude	longitude	niskin_time	freeze_time	Volume filtered (ml SW)	field_notes	extraction_date	elution_volume	nanodrop_dna	nanodrop_260-230	nanodrop_260-280	COI_16S_18S_PCR_dilutions	COI_16S_18S_qPCR_dilutions	12S_dilutions	16S_spike_copies	16Sin_qPCR_quantity	16S_qPCR_quantity	16SV4V5_seq	16S_DADA2_reads	16S_spike_main_ASV	18S_spike_copies	18S_qPCR_quantity	18SV4_seq	18S_DADA2_reads	18S_spike_main_ASV	12S_qPCR_quantity	12S_DADA2_reads	COI_spike_copies	COI_qPCR_quantity
BBT11-6B	BBT11_6B_2023Jul25_McKayBridge_15m	2023-07-25	11	6	15	McKay bridge	44.40682	-63.36672	12:41	12:53	760		2024-06-11	100	54	1.55	1.82	0.5	0.01	1	500000000	93708	480830	original	27510	62	1000000	118340	original	33509	667	120	19706	10000000	4433
BBT11-7B	BBT11_7B_2023Jul25_Tufts_1m	2023-07-25	11	7	1	Tufts Cove	44.40472	-63.35701	12:56	13:05	300		2024-06-11	100	62.6	1.38	1.78	0.25	0.01	1	500000000	69526	573636	original	32996	74	1000000	294275	original	160022	1867	126	12667	10000000	4996
BBT11-8B	BBT11_8B_2023Jul25_Tufts_6m	2023-07-25	11	8	6	Tufts Cove	44.40472	-63.35701	13:05	13:18	900		2024-06-11	100	92.8	1.74	1.86	0.25	0.01	1	500000000	106263	745077	original	27897	30	1000000	467825	original	42892	120	83	10256	10000000	10922
BBT11-9B	BBT11_9B_2023Jul25_McNabsIsland_1m	2023-07-25	11	9	1	McNabs Island	N/A	N/A	15:59	16:10	420		2024-06-11	100	65.8	1.53	1.82	0.25	0.01	1	500000000	58615	620938	original	52311	48	1000000	79372	original	48667	724	94	N/A	10000000	9546
BBT11-BL1	BBT11_Blank1_2023Jul25_CoolerBlank_0m	2023-07-25	11	Blank1	0	Cooler blank 1	N/A	N/A	14:00	14:09	940		2024-06-11	100	6.4	0.78	1.82	1	0.01	1	500000000	40011	25384	original	12246	3797	1000000	1028	original	9989	7315	76	24516	10000000	29
BBT11-BL2	BBT11_Blank2_2023Jul25_CoolerBlank_0m	2023-07-25	11	Blank2	0	Cooler blank 2	N/A	N/A	15:31	15:38	1100		2024-06-11	100	12.2	0.7	1.62	1	0.01	1	500000000	57660	48384	original	4200	2327	1000000	2239	original	40235	16157	75	11481	10000000	61
BBT12-1B	BBT12_1B_2023Aug31_Tufts_1m	2023-08-31	12	1	1	Tufts Cove	44.4039	-63.3568	9:11	9:23	350		2024-06-10	100	70	1.59	1.82	0.25	0.01	1	500000000	153856	631220	original	17840	34	1000000	250068	original	77151	1222	65	16879	10000000	11097
BBT12-10B	BBT12_10B_2023Aug31_McNabsIsland_34m	2023-08-31	12	10	34	McNabs Island	44.3689	-63.32757	15:11	15:23	1180	Deep sampled before surface	2024-06-10	150	46.8	0.85	1.6	0.5	0.01	1	500000000	56910	195716	original	9219	50	1000000	57499	original	11188	367	31	14753	10000000	1872
BBT12-2B	BBT12_2B_2023Aug31_Tufts_16m	2023-08-31	12	2	16	Tufts Cove	44.4039	-63.3568	9:25	9:39	830	Niskin weights hit bottom	2024-06-10	100	53.3	1.37	1.81	0.5	0.01	1	500000000	97136	614490	original	8918	29	1000000	124112	original	34600	472	65	9868	10000000	6370
BBT12-3B	BBT12_3B_2023Aug31_McKayBridge_1m	2023-08-31	12	3	1	McKay bridge	44.40635	-63.36859	10:01	10:20	390	Fell on deck	2024-06-10	100	90.7	1.28	1.79	0.25	0.01	1	500000000	109588	823152	original	11362	9	1000000	200804	original	5462	53	64	16434	10000000	12077
